,arm_name,metric_name,mean,sem,trial_index,parameters
18,9_0,objective,2.908,0.0,9,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.1, 'CHORD1_2': 0.08446982988541578, 'CHORD2_1': 0.31041695189473817, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
19,10_0,objective,2.995,0.0,10,"{'XLE1': 1.4171460948004895, 'XLE2': 3.0364997206366175, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.22711927443316599, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
20,11_0,objective,2.915,0.0,11,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.29913011097963615, 'CHORD1_2': 0.004214697794023809, 'CHORD2_1': 0.29947853448226863, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
21,12_0,objective,2.931,0.0,12,"{'XLE1': 1.7292031531590668, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.05260870188364871, 'CHORD2_1': 0.2503542400191142, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.2958134063013549}"
22,13_0,objective,2.661,0.0,13,"{'XLE1': 1.6613742163306864, 'XLE2': 3.1813462464844573, 'CHORD1_1': 0.2520394364922187, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2486176504915129, 'CHORD2_2': 0.20462829040692684, 'SSPAN1_2': 0.13463526491551978, 'SSPAN2_2': 0.3}"
23,14_0,objective,2.988,0.0,14,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.041615937372877006, 'CHORD2_1': 0.22393884463195912, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
24,15_0,objective,2.977,0.0,15,"{'XLE1': 1.420112287605042, 'XLE2': 3.0048862471806563, 'CHORD1_1': 0.2727787074762943, 'CHORD1_2': 0.055333155315950414, 'CHORD2_1': 0.2638935947721497, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
25,16_0,objective,2.658,0.0,16,"{'XLE1': 1.5795532553237872, 'XLE2': 3.163890823738629, 'CHORD1_1': 0.1474636935483339, 'CHORD1_2': 0.07251597814416938, 'CHORD2_1': 0.4, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
26,17_0,objective,2.61,0.0,17,"{'XLE1': 1.4867793199534591, 'XLE2': 3.127291367054527, 'CHORD1_1': 0.12291091394757597, 'CHORD1_2': 0.01814334703307487, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.23982591593008576}"
27,18_0,objective,2.952,0.0,18,"{'XLE1': 1.473532036450184, 'XLE2': 3.066946225147519, 'CHORD1_1': 0.2809925915596523, 'CHORD1_2': 0.02712087498053546, 'CHORD2_1': 0.21558613408474692, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.26689628543092414, 'SSPAN2_2': 0.3}"
