,arm_name,metric_name,mean,sem,trial_index,parameters
18,9_0,objective,2.902,0.0,9,"{'XLE1': 1.428818774384911, 'XLE2': 3.180307937316579, 'CHORD1_1': 0.13991615702496626, 'CHORD1_2': 0.08635698102672662, 'CHORD2_1': 0.2968822883132307, 'CHORD2_2': 0.20075468451605818, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
19,10_0,objective,2.979,0.0,10,"{'XLE1': 1.25, 'XLE2': 3.007349188404718, 'CHORD1_1': 0.22547926505842797, 'CHORD1_2': 0.04546964198695287, 'CHORD2_1': 0.34920039826421884, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.2894045605138957}"
20,11_0,objective,2.979,0.0,11,"{'XLE1': 1.25, 'XLE2': 3.1725854431731184, 'CHORD1_1': 0.26003424984090373, 'CHORD1_2': 0.07909981417484281, 'CHORD2_1': 0.29423604850614543, 'CHORD2_2': 0.20174652951765848, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.289087205231359}"
21,12_0,objective,2.78,0.0,12,"{'XLE1': 1.25, 'XLE2': 3.0121901360297727, 'CHORD1_1': 0.4, 'CHORD1_2': 0.08256116935873357, 'CHORD2_1': 0.1, 'CHORD2_2': 0.06928537360829647, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
22,13_0,objective,2.959,0.0,13,"{'XLE1': 1.295154826684458, 'XLE2': 3.162349486829749, 'CHORD1_1': 0.2750416863610067, 'CHORD1_2': 0.0035786023152677583, 'CHORD2_1': 0.31301062007399927, 'CHORD2_2': 0.23034404326042215, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.29198170435028115}"
23,14_0,objective,3.03,0.0,14,"{'XLE1': 1.25, 'XLE2': 3.011033827209032, 'CHORD1_1': 0.2788794838221161, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2651393007123243, 'SSPAN2_2': 0.3}"
24,15_0,objective,2.889,0.0,15,"{'XLE1': 1.75, 'XLE2': 3.0964427225977356, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3}"
25,16_0,objective,3.041,0.0,16,"{'XLE1': 1.25, 'XLE2': 3.0497413960878186, 'CHORD1_1': 0.2749933894455522, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2826274877619434, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
26,17_0,objective,3.006,0.0,17,"{'XLE1': 1.416506028781274, 'XLE2': 3.1262330984452196, 'CHORD1_1': 0.3492330259454596, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
27,18_0,objective,2.444,0.0,18,"{'XLE1': 1.5415718820877373, 'XLE2': 3.0999595589935782, 'CHORD1_1': 0.2901269303634763, 'CHORD1_2': 0.03150228118523955, 'CHORD2_1': 0.2030390969477594, 'CHORD2_2': 0.10027761058881879, 'SSPAN1_2': 0.2805150810629129, 'SSPAN2_2': 0.17725459020584822}"
28,19_0,objective,2.255,0.0,19,"{'XLE1': 1.5633410229347646, 'XLE2': 3.186183267273009, 'CHORD1_1': 0.15804802663624287, 'CHORD1_2': 0.059423259124159813, 'CHORD2_1': 0.12076024217531087, 'CHORD2_2': 0.11682998109608889, 'SSPAN1_2': 0.18301942329853774, 'SSPAN2_2': 0.21937776301056144}"
29,20_0,objective,2.998,0.0,20,"{'XLE1': 1.3098135050646915, 'XLE2': 3.0, 'CHORD1_1': 0.29838718357800864, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2734362447760185, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.27488804457270194, 'SSPAN2_2': 0.3}"
30,21_0,objective,2.637,0.0,21,"{'XLE1': 1.5809296509250998, 'XLE2': 3.1544758306816223, 'CHORD1_1': 0.20123326061293484, 'CHORD1_2': 0.025909713618457317, 'CHORD2_1': 0.14489840473979712, 'CHORD2_2': 0.2241702671162784, 'SSPAN1_2': 0.1949966862797737, 'SSPAN2_2': 0.21043525394052265}"
31,22_0,objective,2.586,0.0,22,"{'XLE1': 1.75, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.20753989736426168}"
