,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
0,0_0,objective,2.05,0.0,0,0_0,CD,0.343,0.0,0,0_0,XCP,0.5821463414634146,0.0,0,"{'XLE1': 1.579670488834381, 'XLE2': 3.1876392722129823, 'CHORD1_1': 0.2311523497104645, 'CHORD1_2': 0.057054791450500485, 'CHORD2_1': 0.2749271631240845, 'CHORD2_2': 0.0609840527176857, 'SSPAN1_2': 0.1393328458070755, 'SSPAN2_2': 0.19613901972770692, 'fidelity': 0}"
1,0_1,objective,2.556,0.0,0,0_1,CD,0.426,0.0,0,0_1,XCP,0.53,0.0,0,"{'XLE1': 1.4520167945884168, 'XLE2': 3.0885427726432684, 'CHORD1_1': 0.27232357356697323, 'CHORD1_2': 0.02185664710588753, 'CHORD2_1': 0.1476803220808506, 'CHORD2_2': 0.17040443536825478, 'SSPAN1_2': 0.22631889823824167, 'SSPAN2_2': 0.23134668301790953, 'fidelity': 1}"
2,1_0,objective,2.938,0.0,1,1_0,CD,0.465,0.0,1,1_0,XCP,0.5561951219512195,0.0,1,"{'XLE1': 1.493014514662787, 'XLE2': 3.1393398496430707, 'CHORD1_1': 0.24373133500258973, 'CHORD1_2': 0.01194783192922179, 'CHORD2_1': 0.16980222513484197, 'CHORD2_2': 0.2489284036162998, 'SSPAN1_2': 0.29940042115239235, 'SSPAN2_2': 0.22002822939233754, 'fidelity': 1}"
3,2_0,objective,1.798,0.0,2,2_0,CD,0.315,0.0,2,2_0,XCP,0.39112195121951226,0.0,2,"{'XLE1': 1.7431662802491026, 'XLE2': 3.036166409307144, 'CHORD1_1': 0.12520113124413043, 'CHORD1_2': 0.08956736694362, 'CHORD2_1': 0.1323003092274481, 'CHORD2_2': 0.002127299934570841, 'SSPAN1_2': 0.22744197895310125, 'SSPAN2_2': 0.13675987200005385, 'fidelity': 0}"
4,3_0,objective,1.87,0.0,3,3_0,CD,0.331,0.0,3,3_0,XCP,0.5678536585365854,0.0,3,"{'XLE1': 1.7490548731403137, 'XLE2': 3.000220795117948, 'CHORD1_1': 0.2987647440142488, 'CHORD1_2': 0.08172403216091723, 'CHORD2_1': 0.121000597539132, 'CHORD2_2': 0.11260897866577743, 'SSPAN1_2': 0.10003120743149962, 'SSPAN2_2': 0.2519721010801458, 'fidelity': 0}"
5,4_0,objective,2.259,0.0,4,4_0,CD,0.393,0.0,4,4_0,XCP,0.4346341463414634,0.0,4,"{'XLE1': 1.555785070176137, 'XLE2': 3.070468411902975, 'CHORD1_1': 0.3357708703067768, 'CHORD1_2': 0.005539684206217553, 'CHORD2_1': 0.2813903848313403, 'CHORD2_2': 0.11902579814628939, 'SSPAN1_2': 0.2455683251950347, 'SSPAN2_2': 0.15390440220633733, 'fidelity': 1}"
6,5_0,objective,2.325,0.0,5,5_0,CD,0.412,0.0,5,5_0,XCP,0.47253658536585363,0.0,5,"{'XLE1': 1.3831170791637146, 'XLE2': 3.0474261425097353, 'CHORD1_1': 0.31940433022991255, 'CHORD1_2': 0.0, 'CHORD2_1': 0.26219883111355274, 'CHORD2_2': 0.22001242781841587, 'SSPAN1_2': 0.28043230099923744, 'SSPAN2_2': 0.17535197142888265, 'fidelity': 0}"
7,6_0,objective,2.411,0.0,6,6_0,CD,0.366,0.0,6,6_0,XCP,0.5335121951219512,0.0,6,"{'XLE1': 1.4376907886044616, 'XLE2': 3.1912411010773423, 'CHORD1_1': 0.196606939259223, 'CHORD1_2': 0.0, 'CHORD2_1': 0.14907083665389262, 'CHORD2_2': 0.18204146418196152, 'SSPAN1_2': 0.24807771617656388, 'SSPAN2_2': 0.17432191165308084, 'fidelity': 0}"
8,7_0,objective,2.258,0.0,7,7_0,CD,0.385,0.0,7,7_0,XCP,0.4408780487804878,0.0,7,"{'XLE1': 1.3365323232047626, 'XLE2': 3.1077480376065987, 'CHORD1_1': 0.2313345483846495, 'CHORD1_2': 0.014047340399102336, 'CHORD2_1': 0.20303332863806386, 'CHORD2_2': 0.08382251028461585, 'SSPAN1_2': 0.24268449233350228, 'SSPAN2_2': 0.17415923964310798, 'fidelity': 1}"
9,8_0,objective,2.863,0.0,8,8_0,CD,0.436,0.0,8,8_0,XCP,0.5777073170731708,0.0,8,"{'XLE1': 1.4954818866614386, 'XLE2': 3.0652921156974764, 'CHORD1_1': 0.18481186695406818, 'CHORD1_2': 0.0, 'CHORD2_1': 0.2450685997106397, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2860132894733212, 'SSPAN2_2': 0.20059798683015434, 'fidelity': 1}"
10,9_0,objective,2.633,0.0,9,9_0,CD,0.446,0.0,9,9_0,XCP,0.5170731707317073,0.0,9,"{'XLE1': 1.378986483695704, 'XLE2': 3.1741070964788474, 'CHORD1_1': 0.38625008806599526, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1440334202488825, 'CHORD2_2': 0.07156682581400702, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.29995319818437655, 'fidelity': 0}"
11,10_0,objective,2.904,0.0,10,10_0,CD,0.52,0.0,10,10_0,XCP,0.6257073170731707,0.0,10,"{'XLE1': 1.5009743613342579, 'XLE2': 3.0515517180417597, 'CHORD1_1': 0.18597543491557314, 'CHORD1_2': 0.018509949268915478, 'CHORD2_1': 0.3344519567652226, 'CHORD2_2': 0.21077482803411257, 'SSPAN1_2': 0.2998564469632144, 'SSPAN2_2': 0.28977292439885083, 'fidelity': 1}"
