,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
14,10_0,objective,2.093,0.0,10,10_0,CD,0.351,0.0,10,10_0,XCP,0.5064878048780488,0.0,10,"{'XLE1': 1.4925810421156234, 'XLE2': 3.0467767422966396, 'CHORD1_1': 0.1, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.04761251929562117, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3, 'fidelity': 0}"
15,11_0,objective,2.06,0.0,11,11_0,CD,0.355,0.0,11,11_0,XCP,0.6475609756097561,0.0,11,"{'XLE1': 1.2758502566163272, 'XLE2': 3.2, 'CHORD1_1': 0.3553326585045809, 'CHORD1_2': 0.09, 'CHORD2_1': 0.1, 'CHORD2_2': 0.14207265861159132, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3, 'fidelity': 0}"
16,12_0,objective,2.875,0.0,12,12_0,CD,0.498,0.0,12,12_0,XCP,0.5375121951219513,0.0,12,"{'XLE1': 1.3094338554022242, 'XLE2': 3.0, 'CHORD1_1': 0.3500635339570646, 'CHORD1_2': 0.08607116465417078, 'CHORD2_1': 0.21250077307117077, 'CHORD2_2': 0.24573995097348322, 'SSPAN1_2': 0.23580110280185076, 'SSPAN2_2': 0.22859834182771469, 'fidelity': 1}"
17,13_0,objective,2.815,0.0,13,13_0,CD,0.479,0.0,13,13_0,XCP,0.5574634146341464,0.0,13,"{'XLE1': 1.3940647634953696, 'XLE2': 3.0824638764932626, 'CHORD1_1': 0.27387729170726394, 'CHORD1_2': 0.07300951484041114, 'CHORD2_1': 0.1897928812085437, 'CHORD2_2': 0.22048520613414052, 'SSPAN1_2': 0.23728516877790506, 'SSPAN2_2': 0.2558501744078044, 'fidelity': 1}"
18,14_0,objective,2.663,0.0,14,14_0,CD,0.424,0.0,14,14_0,XCP,0.558439024390244,0.0,14,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.39930511759021964, 'CHORD1_2': 0.0, 'CHORD2_1': 0.23061667249275422, 'CHORD2_2': 0.16375139695741278, 'SSPAN1_2': 0.18925975898451006, 'SSPAN2_2': 0.25368799103217393, 'fidelity': 1}"
19,15_0,objective,2.961,0.0,15,15_0,CD,0.514,0.0,15,15_0,XCP,0.5729756097560976,0.0,15,"{'XLE1': 1.25, 'XLE2': 3.001594188308294, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.324396155952449, 'CHORD2_2': 0.15091696390491524, 'SSPAN1_2': 0.2466603535615391, 'SSPAN2_2': 0.2914646399553174, 'fidelity': 1}"
20,16_0,objective,2.593,0.0,16,16_0,CD,0.428,0.0,16,16_0,XCP,0.568390243902439,0.0,16,"{'XLE1': 1.25, 'XLE2': 3.121667582836168, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.3265442784394148, 'CHORD2_2': 0.24253427476949702, 'SSPAN1_2': 0.1876846399574316, 'SSPAN2_2': 0.2129360698737116, 'fidelity': 1}"
21,17_0,objective,2.523,0.0,17,17_0,CD,0.447,0.0,17,17_0,XCP,0.5377560975609755,0.0,17,"{'XLE1': 1.3051183320799165, 'XLE2': 3.0275823821483723, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.18898846096355973, 'SSPAN2_2': 0.2061311060373038, 'fidelity': 1}"
22,18_0,objective,2.635,0.0,18,18_0,CD,0.42,0.0,18,18_0,XCP,0.5525365853658537,0.0,18,"{'XLE1': 1.42877222585852, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.18732577468490572, 'SSPAN2_2': 0.266439398218969, 'fidelity': 1}"
23,19_0,objective,2.828,0.0,19,19_0,CD,0.463,0.0,19,19_0,XCP,0.5751707317073171,0.0,19,"{'XLE1': 1.5571004431824658, 'XLE2': 3.0041136278177984, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0015402804942999447, 'CHORD2_1': 0.12029616141191046, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2141017372541238, 'SSPAN2_2': 0.3, 'fidelity': 1}"
